batch_ref,canonical_cluster_ids,canonical_cluster_names,owner_capability_groups
batch_001,mkc_019|mkc_026|mkc_027,角色授权表面与人物故事红线|身材效果语言阶梯与场景化观察|舒适性能耐用品质证据阶梯,P0-02|P0-03
batch_002,mkc_008|mkc_009|mkc_020|mkc_021|mkc_039|mkc_040,证明槽位与价值转译|故事弧线适用边界|品类解释与属性槽位骨架|同类比较维度与禁比边界|产品叙事角色入场框架|叙事到 CTA 的非硬卖边界,P0-01|P0-03|P0-05
batch_003,mkc_020|mkc_021|mkc_022|mkc_023|mkc_024|mkc_025|mkc_028|mkc_029|mkc_030|mkc_031|mkc_045|mkc_046,品类解释与属性槽位骨架|同类比较维度与禁比边界|面料家族与属性边界|颜色表达与视觉解释边界|版型廓形剪裁术语|工艺观察线索与讲解节点|品质观察项与证明类型路由|工艺品质内容的可拍摄表达|Look 拆解观察骨架|主题与色彩故事关系网|产品到陈列叙事关系语法|产品到角色到叙事跨域关系,P0-03|P0-04|P0-05
batch_004,mkc_021|mkc_026|mkc_027|mkc_043|mkc_044,同类比较维度与禁比边界|身材效果语言阶梯与场景化观察|舒适性能耐用品质证据阶梯|场景适配条件与不适配条件|使用教育与结果 claim 分界,P0-03|P0-05
batch_005,mkc_008|mkc_022|mkc_024|mkc_025|mkc_039|mkc_040|mkc_041|mkc_042,证明槽位与价值转译|面料家族与属性边界|版型廓形剪裁术语|工艺观察线索与讲解节点|产品叙事角色入场框架|叙事到 CTA 的非硬卖边界|产品生命周期角色窗口|组货角色与渠道边界矩阵,P0-01|P0-03|P0-05
batch_006,mkc_015|mkc_016|mkc_036,组织生态角色网格|视角切换与公开安全边界|陈列动作 SOP 节点框架,P0-02|P0-04
batch_007,mkc_007|mkc_008|mkc_012|mkc_013|mkc_014|mkc_037|mkc_038,企业叙事骨架|证明槽位与价值转译|系列轴与跨形态资产单元|角色发声寄存器|语气校准与去人物化|零售角色动作权限与加盟改写边界|异常回退与前复核路由提示,P0-01|P0-02|P0-04
batch_008,mkc_013|mkc_014|mkc_017|mkc_018|mkc_043|mkc_044,角色发声寄存器|语气校准与去人物化|受众距离与信息深浅轴|情绪温度层与信任门控|场景适配条件与不适配条件|使用教育与结果 claim 分界,P0-02|P0-05
batch_009,mkc_007|mkc_008|mkc_012|mkc_025|mkc_028|mkc_029|mkc_017|mkc_018|mkc_039|mkc_040|mkc_043|mkc_044,企业叙事骨架|证明槽位与价值转译|系列轴与跨形态资产单元|工艺观察线索与讲解节点|品质观察项与证明类型路由|工艺品质内容的可拍摄表达|受众距离与信息深浅轴|情绪温度层与信任门控|产品叙事角色入场框架|叙事到 CTA 的非硬卖边界|场景适配条件与不适配条件|使用教育与结果 claim 分界,P0-01|P0-03|P0-02|P0-05
batch_010,mkc_010|mkc_011|mkc_013|mkc_014|mkc_015|mkc_016|mkc_033|mkc_034|mkc_035,反模板叙事锚点|叙事放大禁区与风险路由|角色发声寄存器|语气校准与去人物化|组织生态角色网格|视角切换与公开安全边界|门店日常动作观察切片|动作转内容槽位与演示三段式|门店日常内容化风险红线,P0-01|P0-02|P0-04
batch_011,mkc_010|mkc_011|mkc_017|mkc_018|mkc_023|mkc_024|mkc_025|mkc_030|mkc_031|mkc_032|mkc_036|mkc_045|mkc_046,反模板叙事锚点|叙事放大禁区与风险路由|受众距离与信息深浅轴|情绪温度层与信任门控|颜色表达与视觉解释边界|版型廓形剪裁术语|工艺观察线索与讲解节点|Look 拆解观察骨架|主题与色彩故事关系网|陈列区位与可拍摄视觉锚点|陈列动作 SOP 节点框架|产品到陈列叙事关系语法|产品到角色到叙事跨域关系,P0-01|P0-02|P0-03|P0-04|P0-05
batch_012,mkc_012|mkc_025|mkc_028|mkc_029|mkc_030|mkc_032|mkc_033|mkc_034|mkc_036|mkc_038,系列轴与跨形态资产单元|工艺观察线索与讲解节点|品质观察项与证明类型路由|工艺品质内容的可拍摄表达|Look 拆解观察骨架|陈列区位与可拍摄视觉锚点|门店日常动作观察切片|动作转内容槽位与演示三段式|陈列动作 SOP 节点框架|异常回退与前复核路由提示,P0-01|P0-03|P0-04
batch_013,mkc_007|mkc_008|mkc_015|mkc_016|mkc_019|mkc_034|mkc_035|mkc_037|mkc_038|mkc_041|mkc_042,企业叙事骨架|证明槽位与价值转译|组织生态角色网格|视角切换与公开安全边界|角色授权表面与人物故事红线|动作转内容槽位与演示三段式|门店日常内容化风险红线|零售角色动作权限与加盟改写边界|异常回退与前复核路由提示|产品生命周期角色窗口|组货角色与渠道边界矩阵,P0-01|P0-02|P0-04|P0-05
batch_014,mkc_001|mkc_002|mkc_003|mkc_004|mkc_005|mkc_006|mkc_010|mkc_011|mkc_019|mkc_020|mkc_026|mkc_027|mkc_035|mkc_038|mkc_045|mkc_046,入口槽位契约|路由阶梯与降级触发|全局 claim 与证据边界检查|异常分发与再进入规则|能力组合与 strictest-wins 裁定|研究资产绑定与非生产封印|反模板叙事锚点|叙事放大禁区与风险路由|角色授权表面与人物故事红线|品类解释与属性槽位骨架|身材效果语言阶梯与场景化观察|舒适性能耐用品质证据阶梯|门店日常内容化风险红线|异常回退与前复核路由提示|产品到陈列叙事关系语法|产品到角色到叙事跨域关系,P0-00|P0-01|P0-02|P0-03|P0-04|P0-05
