relation_id,source_draft_id,subject_ref,subject_type,predicate_id,object_ref,object_type,condition,evidence_requirement,owner_scope,body_proposition_ref,w7_required_relation_ref,relation_status
RDH-SEM-V4_1-CONTENT-METHOD-001-01,SEM-V4_1-CONTENT-METHOD-001,sem-v4_1-content-method-001:问题类型识别,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-content-method-001:新品上架说明,body_proposition_ref,仅当正文第p1段可被人工复核时使用,story_method_reference_type,creative_content_operating,p1,story_arc -> required_proof_intensity,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTENT-METHOD-001-02,SEM-V4_1-CONTENT-METHOD-001,sem-v4_1-content-method-001:证据强度匹配,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-content-method-001:工艺能力介绍,body_proposition_ref,仅当正文第p3段可被人工复核时使用,organization_process_or_capability_explainer_type,creative_content_operating,p3,story_arc -> compatible_value_expression,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTENT-METHOD-001-03,SEM-V4_1-CONTENT-METHOD-001,sem-v4_1-content-method-001:价值表达约束,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-content-method-001:系列主题介绍,owner_model_ref,仅当正文第p4段可被人工复核时使用,official_milestone_disclosure_type_if_later_instance_authorized,creative_content_operating,p4,story_arc -> forbidden_fact_zone,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTENT-METHOD-002-01,SEM-V4_1-CONTENT-METHOD-002,sem-v4_1-content-method-002:对象锚点选择,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-content-method-002:版型差异,body_proposition_ref,仅当正文第p1段可被人工复核时使用,process_scene_or_object_reference_type,creative_content_operating,p1,anchor_object -> anchor_action,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTENT-METHOD-002-02,SEM-V4_1-CONTENT-METHOD-002,sem-v4_1-content-method-002:动作锚点展开,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-content-method-002:搭配动作,body_proposition_ref,仅当正文第p3段可被人工复核时使用,organization_role_action_reference_type,creative_content_operating,p3,anchor_action -> visible_cue,design_hint_not_ontology_edge
RDH-SEM-V4_1-CONTENT-METHOD-002-03,SEM-V4_1-CONTENT-METHOD-002,sem-v4_1-content-method-002:约束取舍表达,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-content-method-002:陈列调整,owner_model_ref,仅当正文第p4段可被人工复核时使用,method_or_choice_explainer_type,creative_content_operating,p4,constraint -> tradeoff_expression,design_hint_not_ontology_edge
RDH-SEM-V4_1-APPAREL-CLAIM-BOUNDARY-001-01,SEM-V4_1-APPAREL-CLAIM-BOUNDARY-001,sem-v4_1-apparel-claim-boundary-001:观察词分层,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-apparel-claim-boundary-001:腰线位置,body_proposition_ref,仅当正文第p1段可被人工复核时使用,claim_policy_reference,apparel_claim_boundary,p1,承接 RS02-CL02 与 RS02-CL03,design_hint_not_ontology_edge
RDH-SEM-V4_1-APPAREL-CLAIM-BOUNDARY-001-02,SEM-V4_1-APPAREL-CLAIM-BOUNDARY-001,sem-v4_1-apparel-claim-boundary-001:关系词限位,evidence_class_ref,requires_evidence_before_stronger_expression,sem-v4_1-apparel-claim-boundary-001:肩线方向,body_proposition_ref,仅当正文第p3段可被人工复核时使用,sensitive_claim_boundary_reference,apparel_claim_boundary,p3,连接 RS03-CL03 场景化观察方法,design_hint_not_ontology_edge
RDH-SEM-V4_1-APPAREL-CLAIM-BOUNDARY-001-03,SEM-V4_1-APPAREL-CLAIM-BOUNDARY-001,sem-v4_1-apparel-claim-boundary-001:结果词回避,body_proposition_ref,routes_failure_mode_to_review_path,sem-v4_1-apparel-claim-boundary-001:裤管垂坠,owner_model_ref,仅当正文第p4段可被人工复核时使用,content_risk_reference,apparel_claim_boundary,p4,向 P0-00 证据路由提供触发点但不吸收控制面内容,design_hint_not_ontology_edge
RDH-SEM-V4_1-APPAREL-CLAIM-BOUNDARY-002-01,SEM-V4_1-APPAREL-CLAIM-BOUNDARY-002,sem-v4_1-apparel-claim-boundary-002:主张分级,pilot_concept_ref,applies_topic_to_observable_anchor,sem-v4_1-apparel-claim-boundary-002:面料触感,body_proposition_ref,仅当正文第p1段可被人工复核时使用,standard_reference_type,apparel_claim_boundary,p1,承接 RS02-CL01 与 RS02-CL04 的材料和工艺名词,design_hint_not_ontology_edge
