relation_id,source_draft_id,artifact_kind,subject_ref,subject_type,predicate_id,predicate_family,object_ref,object_type,condition,evidence_requirement,owner_scope,body_proposition_ref,w7_required_relation_ref,relation_status
RDH-SEM-V4_7-CONTENT-METHOD-001-01,SEM-V4_7-CONTENT-METHOD-001,general_knowledge_candidate,SEM-V4_7-CONTENT-METHOD-001:block:capsule_question,knowledge_capsule_section_ref,selects_story_problem_type,story_method,SEM-V4_7-CONTENT-METHOD-001:block:core_mechanism,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,creative_content_operating,capsule_question,story_arc -> required_proof_intensity,design_hint_not_ontology_edge
RDH-SEM-V4_7-CONTENT-METHOD-001-02,SEM-V4_7-CONTENT-METHOD-001,general_knowledge_candidate,SEM-V4_7-CONTENT-METHOD-001:block:core_mechanism,knowledge_capsule_section_ref,binds_arc_to_proof_intensity,story_method,SEM-V4_7-CONTENT-METHOD-001:block:boundary_guardrail,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,creative_content_operating,core_mechanism,story_arc -> compatible_value_expression,design_hint_not_ontology_edge
RDH-SEM-V4_7-CONTENT-METHOD-001-03,SEM-V4_7-CONTENT-METHOD-001,general_knowledge_candidate,SEM-V4_7-CONTENT-METHOD-001:block:observable_material,knowledge_capsule_section_ref,anchors_object_action_constraint,anchor_method,SEM-V4_7-CONTENT-METHOD-001:block:creative_transfer,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,creative_content_operating,observable_material,arc_mismatch -> source_gap_or_downgrade,design_hint_not_ontology_edge
RDH-SEM-V4_7-CONTENT-METHOD-002-01,SEM-V4_7-CONTENT-METHOD-002,general_knowledge_candidate,SEM-V4_7-CONTENT-METHOD-002:block:observable_material,knowledge_capsule_section_ref,anchors_object_action_constraint,anchor_method,SEM-V4_7-CONTENT-METHOD-002:block:creative_transfer,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,creative_content_operating,observable_material,anchor_object -> anchor_action,design_hint_not_ontology_edge
RDH-SEM-V4_7-CONTENT-METHOD-002-02,SEM-V4_7-CONTENT-METHOD-002,general_knowledge_candidate,SEM-V4_7-CONTENT-METHOD-002:block:failure_signal,knowledge_capsule_section_ref,downgrades_weak_anchor_to_checklist,anchor_method,SEM-V4_7-CONTENT-METHOD-002:block:boundary_guardrail,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,creative_content_operating,failure_signal,constraint -> tradeoff_expression,design_hint_not_ontology_edge
RDH-SEM-V4_7-CONTENT-METHOD-002-03,SEM-V4_7-CONTENT-METHOD-002,general_knowledge_candidate,SEM-V4_7-CONTENT-METHOD-002:block:core_mechanism,knowledge_capsule_section_ref,anchors_object_action_constraint,anchor_method,SEM-V4_7-CONTENT-METHOD-002:block:generative_options,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,creative_content_operating,core_mechanism,process_node -> narrative_sceneability,design_hint_not_ontology_edge
RDH-SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001-01,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001,general_knowledge_candidate,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001:block:core_mechanism,knowledge_capsule_section_ref,classifies_expression_strength,claim_boundary,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001:block:safe_creative_alternatives,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,apparel_claim_boundary,core_mechanism,承接 RS02-CL02 与 RS02-CL03,design_hint_not_ontology_edge
RDH-SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001-02,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001,general_knowledge_candidate,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001:block:boundary_guardrail,knowledge_capsule_section_ref,downgrades_claim_to_observation,claim_boundary,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001:block:observable_material,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,apparel_claim_boundary,boundary_guardrail,连接 RS03-CL03 场景化观察方法,design_hint_not_ontology_edge
RDH-SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001-03,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001,general_knowledge_candidate,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001:block:failure_signal,knowledge_capsule_section_ref,requires_source_workorder_for_result_claim,evidence_boundary,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-001:block:boundary_guardrail,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,apparel_claim_boundary,failure_signal,向 P0-00 证据路由提供触发点但不吸收控制面内容,design_hint_not_ontology_edge
RDH-SEM-V4_7-APPAREL-CLAIM-BOUNDARY-002-01,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-002,general_knowledge_candidate,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-002:block:core_mechanism,knowledge_capsule_section_ref,classifies_expression_strength,claim_boundary,SEM-V4_7-APPAREL-CLAIM-BOUNDARY-002:block:safe_creative_alternatives,knowledge_capsule_section_ref,"Design hint only; not an ontology edge; subject and object reference capsule, rich body, creative block, or governance notes.",design_hint_only_no_formal_graph_claim,apparel_claim_boundary,core_mechanism,承接 RS02-CL01 与 RS02-CL04 的材料和工艺名词,design_hint_not_ontology_edge
