canonical_cluster_id,canonical_cluster_name,source_cluster_ids,owner_capability_group,secondary_capability_groups,owner_rationale,shared_reason,conflict_notes,arbitration_status
mkc_001,入口槽位契约,P0-00-RS01-C01,P0-00,P0-01|P0-04|P0-05,主责在控制面、route、seal、reentry、strictest-wins 或 research-only bindability。,作为入口契约被多个 P0 消费，但不下沉为领域知识。,none_material_to_owner_assignment,resolved
mkc_002,路由阶梯与降级触发,P0-00-RS01-C02,P0-00,P0-01|P0-03|P0-04|P0-05,主责在控制面、route、seal、reentry、strictest-wins 或 research-only bindability。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_003,全局 claim 与证据边界检查,P0-00-RS02-C01,P0-00,P0-03|P0-05,主责在控制面、route、seal、reentry、strictest-wins 或 research-only bindability。,P0-03 与 P0-05 均依赖此全局证据门，但不得在业务簇内重写。,none_material_to_owner_assignment,resolved
mkc_004,异常分发与再进入规则,P0-00-RS02-C02|P0-00-RS04-C02,P0-00,P0-01|P0-02|P0-03|P0-04|P0-05,主责在控制面、route、seal、reentry、strictest-wins 或 research-only bindability。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,合并保留“触发去向”与“再进入条件”两层；未把两者折叠为单一审批流。,resolved
mkc_005,能力组合与 strictest-wins 裁定,P0-00-RS03-C01,P0-00,P0-01|P0-04|P0-05,主责在控制面、route、seal、reentry、strictest-wins 或 research-only bindability。,多能力请求需共享 strictest-wins 规则。,none_material_to_owner_assignment,resolved
mkc_006,研究资产绑定与非生产封印,P0-00-RS03-C02|P0-00-RS04-C01,P0-00,P0-01|P0-02|P0-03|P0-04|P0-05,主责在控制面、route、seal、reentry、strictest-wins 或 research-only bindability。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,合并后仅保留 research-only bindability 与 non-production seal；未引入任何 runtime artifact。,resolved
mkc_007,企业叙事骨架,W2-P0-01-RS01-CL01,P0-01,P0-02|P0-03|P0-05,主责在 enterprise narrative framing、proof-slot narrative use、series planning 或 anti-template narrative method。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_008,证明槽位与价值转译,W2-P0-01-RS01-CL02|W2-P0-01-RS02-CL02,P0-01,P0-03|P0-04|P0-05,主责在 enterprise narrative framing、proof-slot narrative use、series planning 或 anti-template narrative method。,P0-01 需要 proof slot，P0-03/04/05 需要 observable translation 接口。,与 P0-03 的 process / quality proof ontology 相邻；本簇仅保留 narrative framing 与 observable translation。,resolved_with_boundary_note
mkc_009,故事弧线适用边界,W2-P0-01-RS02-CL01,P0-01,P0-05,主责在 enterprise narrative framing、proof-slot narrative use、series planning 或 anti-template narrative method。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_010,反模板叙事锚点,W2-P0-01-RS03-CL01,P0-01,P0-02|P0-03|P0-04|P0-05,主责在 enterprise narrative framing、proof-slot narrative use、series planning 或 anti-template narrative method。,DQ anti-template anchor 被多卡复用但不等于 topic library。,none_material_to_owner_assignment,resolved
mkc_011,叙事放大禁区与风险路由,W2-P0-01-RS03-CL02,P0-01,P0-00|P0-03|P0-05,主责在 enterprise narrative framing、proof-slot narrative use、series planning 或 anti-template narrative method。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_012,系列轴与跨形态资产单元,W2-P0-01-RS04-CL01|W2-P0-01-RS04-CL02,P0-01,P0-02|P0-03|P0-04|P0-05,主责在 enterprise narrative framing、proof-slot narrative use、series planning 或 anti-template narrative method。,series axis 与 cross-format asset unit 跨多卡复用。,none_material_to_owner_assignment,resolved
mkc_013,角色发声寄存器,P0-02-RS01-C01,P0-02,P0-01|P0-04|P0-05,主责在 role voice、persona surface、organization perspective 或 role authorization boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_014,语气校准与去人物化,P0-02-RS01-C02,P0-02,P0-01|P0-03|P0-04,主责在 role voice、persona surface、organization perspective 或 role authorization boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_015,组织生态角色网格,P0-02-RS02-C01,P0-02,P0-04|P0-05,主责在 role voice、persona surface、organization perspective 或 role authorization boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_016,视角切换与公开安全边界,P0-02-RS02-C02,P0-02,P0-00|P0-04|P0-05,主责在 role voice、persona surface、organization perspective 或 role authorization boundary。,public-safe 边界与 P0-00、P0-04 共用。,none_material_to_owner_assignment,resolved
mkc_017,受众距离与信息深浅轴,P0-02-RS03-C01,P0-02,P0-01|P0-05,主责在 role voice、persona surface、organization perspective 或 role authorization boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_018,情绪温度层与信任门控,P0-02-RS03-C02,P0-02,P0-00|P0-03|P0-05,主责在 role voice、persona surface、organization perspective 或 role authorization boundary。,trust signal 需要与全局证据边界共振。,none_material_to_owner_assignment,resolved
mkc_019,角色授权表面与人物故事红线,P0-02-RS04-C01|P0-02-RS04-C02,P0-02,P0-00|P0-04,主责在 role voice、persona surface、organization perspective 或 role authorization boundary。,generic role authorization 与 retail authorization 共享红线。,P0-02 保持 generic role authorization；零售/加盟具体权限仍由 P0-04 二级承接。,resolved_with_boundary_note
mkc_020,品类解释与属性槽位骨架,P0-03-RS01-CL01|P0-03-RS01-CL02,P0-03,P0-04|P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,作为 P0-03 对象骨架被 P0-04/P0-05 消费。,none_material_to_owner_assignment,resolved
mkc_021,同类比较维度与禁比边界,P0-03-RS01-CL03,P0-03,P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_022,面料家族与属性边界,P0-03-RS02-CL01,P0-03,P0-04|P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_023,颜色表达与视觉解释边界,P0-03-RS02-CL02,P0-03,P0-04|P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,色彩模块与 P0-04 主题色彩故事共享词汇但 owner 不变。,none_material_to_owner_assignment,resolved
mkc_024,版型廓形剪裁术语,P0-03-RS02-CL03,P0-03,P0-04|P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_025,工艺观察线索与讲解节点,P0-03-RS02-CL04|P0-03-RS04-CL01,P0-03,P0-04|P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,工艺观察节点被 narrative 与 display 侧复用。,合并保留“可见工艺节点”与“讲解顺序”；未扩展为完整工艺本体。,resolved_with_boundary_note
mkc_026,身材效果语言阶梯与场景化观察,P0-03-RS03-CL01|P0-03-RS03-CL03,P0-03,P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,scene observation 与 product scene-fit 存在共享边缘。,与 P0-05 场景适配相邻；本簇主责 claim-language stair 与 non-conclusive scene observation。,resolved_with_boundary_note
mkc_027,舒适性能耐用品质证据阶梯,P0-03-RS03-CL02,P0-03,P0-00|P0-05,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_028,品质观察项与证明类型路由,P0-03-RS04-CL02|P0-03-RS04-CL03,P0-03,P0-01,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,proof-type taxonomy 被 enterprise narrative 引用，但 quality routing 主权仍归 P0-03。,合并保留 proof-type taxonomy 与 certification-claim routing；未声明任何真实认证存在。,resolved_with_boundary_note
mkc_029,工艺品质内容的可拍摄表达,P0-03-RS04-CL04,P0-03,P0-01|P0-04,主责在 apparel/material/fit/craft/quality/claim-evidence domain boundary。,filmability 方法与 P0-01/P0-04 共用。,none_material_to_owner_assignment,resolved
mkc_030,Look 拆解观察骨架,W5_P0_04_RS01_CL01,P0-04,P0-03|P0-05,主责在 display/store-daily/SOP/contentization/retail permission frame。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_031,主题与色彩故事关系网,W5_P0_04_RS01_CL02,P0-04,P0-01|P0-03|P0-05,主责在 display/store-daily/SOP/contentization/retail permission frame。,主题-色彩关系与 P0-03/P0-01/P0-05 相邻，但仍以 display contentization 为主。,none_material_to_owner_assignment,resolved_with_boundary_note
mkc_032,陈列区位与可拍摄视觉锚点,W5_P0_04_RS01_CL03,P0-04,P0-02|P0-05,主责在 display/store-daily/SOP/contentization/retail permission frame。,display zone anchor 为 role/product 侧提供 filmable interface。,none_material_to_owner_assignment,resolved
mkc_033,门店日常动作观察切片,W5_P0_04_RS02_CL01,P0-04,P0-02,主责在 display/store-daily/SOP/contentization/retail permission frame。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_034,动作转内容槽位与演示三段式,W5_P0_04_RS02_CL02|W5_P0_04_RS03_CL02,P0-04,P0-01|P0-02,主责在 display/store-daily/SOP/contentization/retail permission frame。,动作到内容的结构槽位被 narrative/role 侧消费。,动作转内容与演示三段式只共享结构槽位；不生成脚本。,resolved_with_boundary_note
mkc_035,门店日常内容化风险红线,W5_P0_04_RS02_CL03,P0-04,P0-00|P0-02,主责在 display/store-daily/SOP/contentization/retail permission frame。,门店日常风险红线与 P0-00/P0-02 共享。,none_material_to_owner_assignment,resolved
mkc_036,陈列动作 SOP 节点框架,W5_P0_04_RS03_CL01,P0-04,P0-02|P0-05,主责在 display/store-daily/SOP/contentization/retail permission frame。,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_037,零售角色动作权限与加盟改写边界,W5_P0_04_RS04_CL01|W5_P0_04_RS04_CL02,P0-04,P0-02,主责在 display/store-daily/SOP/contentization/retail permission frame。,retail permission boundary 与 generic role authorization 共边界。,零售角色矩阵与加盟改写边界并置；真实授权、合同、组织事实仍 route away。,resolved_with_boundary_note
mkc_038,异常回退与前复核路由提示,W5_P0_04_RS03_CL03|W5_P0_04_RS04_CL03,P0-04,P0-00,主责在 display/store-daily/SOP/contentization/retail permission frame。,局部 review/precheck 与 P0-00 总路由共享词汇。,P0-04 仅保留局部 precheck/review hint；控制面总路由仍归 P0-00。,resolved_with_boundary_note
mkc_039,产品叙事角色入场框架,P0-05-RS01-C01,P0-05,P0-01|P0-04,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_040,叙事到 CTA 的非硬卖边界,P0-05-RS01-C02,P0-05,P0-00|P0-01|P0-04,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,CTA 边界与 P0-00 route gate、P0-04 收束接口互相关联。,none_material_to_owner_assignment,resolved
mkc_041,产品生命周期角色窗口,P0-05-RS02-C01,P0-05,P0-00|P0-04,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,共享发生在 source_p0_groups 或 shared_with_capability_cards，owner 不转移。,none_material_to_owner_assignment,resolved
mkc_042,组货角色与渠道边界矩阵,P0-05-RS02-C02,P0-05,P0-00|P0-02|P0-04,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,assortment/channel relation 同时触碰 P0-02 角色网格与 P0-04 display support-only。,A2 support-only 边界保留为 conflict note；未扩成完整 display / channel system。,resolved_with_boundary_note
mkc_043,场景适配条件与不适配条件,P0-05-RS03-C01,P0-05,P0-01|P0-02|P0-03,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,scene-fit 语言与 P0-01/P0-02/P0-03 共享边界。,none_material_to_owner_assignment,resolved
mkc_044,使用教育与结果 claim 分界,P0-05-RS03-C02,P0-05,P0-00|P0-03,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,education-vs-claim 与 P0-03/P0-00 的证据门共用。,none_material_to_owner_assignment,resolved
mkc_045,产品到陈列叙事关系语法,P0-05-RS04-C01,P0-05,P0-03|P0-04,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,product-display grammar 与 P0-04 display frame 共享视觉关系。,产品为主语、陈列为关系语法；未接管 P0-04 display-system ownership。,resolved_with_boundary_note
mkc_046,产品到角色到叙事跨域关系,P0-05-RS04-C02,P0-05,P0-00|P0-01|P0-02|P0-04,主责在 product role narrative、CTA boundary、scene-fit、assortment relation 或 product-display relation.,product-role-narrative crosswalk 与 P0-00/P0-01/P0-02/P0-04 均有接口。,可共享 cross-domain 节点；strictest-wins 与 workflow 禁令仍由 P0-00 控制。,resolved_with_boundary_note
