relation_id,candidate_id,subject_ref,relation_predicate,object_ref,relation_note,contains_real_instance_fact
SEM-V3-CONTENT-METHOD-001-REL-A,SEM-V3-CONTENT-METHOD-001,材质触点转内容承诺边界,maps_scene_task_to_narrative_device,只能描述看得见的织纹、厚薄和垂落，不得承诺真实穿着感受,材质触点转内容承诺边界 通过 maps_scene_task_to_narrative_device 连接到 只能描述看得见的织纹、厚薄和垂落，不得承诺真实穿着感受,false
SEM-V3-CONTENT-METHOD-001-REL-B,SEM-V3-CONTENT-METHOD-001,把触感词降级成可见材质描述,translates_display_action_to_content_angle,形成一段可审的材质描述，并把性能类承诺留给补证流程,把触感词降级成可见材质描述 通过 translates_display_action_to_content_angle 连接到 形成一段可审的材质描述，并把性能类承诺留给补证流程,false
SEM-V3-CONTENT-METHOD-002-REL-A,SEM-V3-CONTENT-METHOD-002,场景任务到叙事顺序,maps_scene_task_to_narrative_device,只能依据可见搭配关系说明用途，不推断具体人群结果,场景任务到叙事顺序 通过 maps_scene_task_to_narrative_device 连接到 只能依据可见搭配关系说明用途，不推断具体人群结果,false
SEM-V3-CONTENT-METHOD-002-REL-B,SEM-V3-CONTENT-METHOD-002,先问场景任务，再写搭配动作，最后给选择提示,translates_display_action_to_content_angle,生成从场景需要到搭配选择的三步内容提纲,先问场景任务，再写搭配动作，最后给选择提示 通过 translates_display_action_to_content_angle 连接到 生成从场景需要到搭配选择的三步内容提纲,false
SEM-V3-CONTENT-METHOD-003-REL-A,SEM-V3-CONTENT-METHOD-003,角色口吻的权限边界,maps_scene_task_to_narrative_device,角色只能表达造型经验和观察，不得代替检测或真实反馈,角色口吻的权限边界 通过 maps_scene_task_to_narrative_device 连接到 角色只能表达造型经验和观察，不得代替检测或真实反馈,false
SEM-V3-CONTENT-METHOD-003-REL-B,SEM-V3-CONTENT-METHOD-003,先声明口吻范围，再写搭配建议,translates_display_action_to_content_angle,得到有角色感但不过界的导购或内容脚本,先声明口吻范围，再写搭配建议 通过 translates_display_action_to_content_angle 连接到 得到有角色感但不过界的导购或内容脚本,false
SEM-V3-CONTENT-METHOD-004-REL-A,SEM-V3-CONTENT-METHOD-004,失败场景先行的搭配解释,maps_scene_task_to_narrative_device,失败只能归因于服装安排，不得评价身体或真实穿着者,失败场景先行的搭配解释 通过 maps_scene_task_to_narrative_device 连接到 失败只能归因于服装安排，不得评价身体或真实穿着者,false
SEM-V3-CONTENT-METHOD-004-REL-B,SEM-V3-CONTENT-METHOD-004,先指出服装安排失败，再给可逆调整,translates_display_action_to_content_angle,形成以服装任务为中心的纠错型内容卡,先指出服装安排失败，再给可逆调整 通过 translates_display_action_to_content_angle 连接到 形成以服装任务为中心的纠错型内容卡,false
SEM-V3-CONTENT-METHOD-005-REL-A,SEM-V3-CONTENT-METHOD-005,锚点单品生成系列内容,maps_scene_task_to_narrative_device,每次续写必须有新的场景条件或搭配动作,锚点单品生成系列内容 通过 maps_scene_task_to_narrative_device 连接到 每次续写必须有新的场景条件或搭配动作,false
SEM-V3-CONTENT-METHOD-005-REL-B,SEM-V3-CONTENT-METHOD-005,每一篇只改变一个任务约束,translates_display_action_to_content_angle,形成可连续但不重复的单品内容系列,每一篇只改变一个任务约束 通过 translates_display_action_to_content_angle 连接到 形成可连续但不重复的单品内容系列,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-001-REL-A,SEM-V3-APPAREL-CLAIM-BOUNDARY-001,垂坠语言的证据边界,constrains_claim_type,可以说衣片如何落下，不能说身体比例改变、轮廓结果或穿着者体态改变,垂坠语言的证据边界 通过 constrains_claim_type 连接到 可以说衣片如何落下，不能说身体比例改变、轮廓结果或穿着者体态改变,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-001-REL-B,SEM-V3-APPAREL-CLAIM-BOUNDARY-001,把垂坠写成可见衣片行为,downgrades_output_when_evidence_missing,形成垂坠可说、身体效果待证的说法边界,把垂坠写成可见衣片行为 通过 downgrades_output_when_evidence_missing 连接到 形成垂坠可说、身体效果待证的说法边界,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-002-REL-A,SEM-V3-APPAREL-CLAIM-BOUNDARY-002,工艺细节的说法阶梯,constrains_claim_type,耐用、抗拉、寿命等说法必须有来源，不得由肉眼细节直接推出,工艺细节的说法阶梯 通过 constrains_claim_type 连接到 耐用、抗拉、寿命等说法必须有来源，不得由肉眼细节直接推出,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-002-REL-B,SEM-V3-APPAREL-CLAIM-BOUNDARY-002,先命名可见工艺，再区分是否需要证据,downgrades_output_when_evidence_missing,形成从可见描述到证据要求的说法阶梯,先命名可见工艺，再区分是否需要证据 通过 downgrades_output_when_evidence_missing 连接到 形成从可见描述到证据要求的说法阶梯,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-003-REL-A,SEM-V3-APPAREL-CLAIM-BOUNDARY-003,舒适措辞降级路径,constrains_claim_type,真实舒适感需要评测或反馈，未审查时只能说衣物线索,舒适措辞降级路径 通过 constrains_claim_type 连接到 真实舒适感需要评测或反馈，未审查时只能说衣物线索,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-003-REL-B,SEM-V3-APPAREL-CLAIM-BOUNDARY-003,把舒适改写成宽松、柔软、活动空间等可观察表述,downgrades_output_when_evidence_missing,形成从主观感受词到可审观察词的降级路径,把舒适改写成宽松、柔软、活动空间等可观察表述 通过 downgrades_output_when_evidence_missing 连接到 形成从主观感受词到可审观察词的降级路径,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-004-REL-A,SEM-V3-APPAREL-CLAIM-BOUNDARY-004,面料属性到允许说法映射,constrains_claim_type,抗皱、保暖、凉感、耐磨等性能词必须进入来源工单,面料属性到允许说法映射 通过 constrains_claim_type 连接到 抗皱、保暖、凉感、耐磨等性能词必须进入来源工单,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-004-REL-B,SEM-V3-APPAREL-CLAIM-BOUNDARY-004,把属性词分为观察、推测、需证据三层,downgrades_output_when_evidence_missing,形成面料词到内容说法强度的映射表,把属性词分为观察、推测、需证据三层 通过 downgrades_output_when_evidence_missing 连接到 形成面料词到内容说法强度的映射表,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-005-REL-A,SEM-V3-APPAREL-CLAIM-BOUNDARY-005,版型比较不触碰身体效果,constrains_claim_type,可以说裤型线条变化，不能承诺身体比例改变、视觉拉长或穿着者身形改变,版型比较不触碰身体效果 通过 constrains_claim_type 连接到 可以说裤型线条变化，不能承诺身体比例改变、视觉拉长或穿着者身形改变,false
SEM-V3-APPAREL-CLAIM-BOUNDARY-005-REL-B,SEM-V3-APPAREL-CLAIM-BOUNDARY-005,比较服装几何，而不是评价穿着者身体,downgrades_output_when_evidence_missing,形成中性版型比较规则,比较服装几何，而不是评价穿着者身体 通过 downgrades_output_when_evidence_missing 连接到 形成中性版型比较规则,false
