canonical_cluster_id,canonical_cluster_name,owner_capability_group,secondary_capability_groups,source_cluster_ids
mkc_001,入口槽位契约,P0-00,P0-01|P0-04|P0-05,P0-00-RS01-C01
mkc_002,路由阶梯与降级触发,P0-00,P0-01|P0-03|P0-04|P0-05,P0-00-RS01-C02
mkc_003,全局 claim 与证据边界检查,P0-00,P0-03|P0-05,P0-00-RS02-C01
mkc_004,异常分发与再进入规则,P0-00,P0-01|P0-02|P0-03|P0-04|P0-05,P0-00-RS02-C02|P0-00-RS04-C02
mkc_005,能力组合与 strictest-wins 裁定,P0-00,P0-01|P0-04|P0-05,P0-00-RS03-C01
mkc_006,研究资产绑定与非生产封印,P0-00,P0-01|P0-02|P0-03|P0-04|P0-05,P0-00-RS03-C02|P0-00-RS04-C01
mkc_007,企业叙事骨架,P0-01,P0-02|P0-03|P0-05,W2-P0-01-RS01-CL01
mkc_008,证明槽位与价值转译,P0-01,P0-03|P0-04|P0-05,W2-P0-01-RS01-CL02|W2-P0-01-RS02-CL02
mkc_009,故事弧线适用边界,P0-01,P0-05,W2-P0-01-RS02-CL01
mkc_010,反模板叙事锚点,P0-01,P0-02|P0-03|P0-04|P0-05,W2-P0-01-RS03-CL01
mkc_011,叙事放大禁区与风险路由,P0-01,P0-00|P0-03|P0-05,W2-P0-01-RS03-CL02
mkc_012,系列轴与跨形态资产单元,P0-01,P0-02|P0-03|P0-04|P0-05,W2-P0-01-RS04-CL01|W2-P0-01-RS04-CL02
mkc_013,角色发声寄存器,P0-02,P0-01|P0-04|P0-05,P0-02-RS01-C01
mkc_014,语气校准与去人物化,P0-02,P0-01|P0-03|P0-04,P0-02-RS01-C02
mkc_015,组织生态角色网格,P0-02,P0-04|P0-05,P0-02-RS02-C01
mkc_016,视角切换与公开安全边界,P0-02,P0-00|P0-04|P0-05,P0-02-RS02-C02
mkc_017,受众距离与信息深浅轴,P0-02,P0-01|P0-05,P0-02-RS03-C01
mkc_018,情绪温度层与信任门控,P0-02,P0-00|P0-03|P0-05,P0-02-RS03-C02
mkc_019,角色授权表面与人物故事红线,P0-02,P0-00|P0-04,P0-02-RS04-C01|P0-02-RS04-C02
mkc_020,品类解释与属性槽位骨架,P0-03,P0-04|P0-05,P0-03-RS01-CL01|P0-03-RS01-CL02
mkc_021,同类比较维度与禁比边界,P0-03,P0-05,P0-03-RS01-CL03
mkc_022,面料家族与属性边界,P0-03,P0-04|P0-05,P0-03-RS02-CL01
mkc_023,颜色表达与视觉解释边界,P0-03,P0-04|P0-05,P0-03-RS02-CL02
mkc_024,版型廓形剪裁术语,P0-03,P0-04|P0-05,P0-03-RS02-CL03
mkc_025,工艺观察线索与讲解节点,P0-03,P0-04|P0-05,P0-03-RS02-CL04|P0-03-RS04-CL01
mkc_026,身材效果语言阶梯与场景化观察,P0-03,P0-05,P0-03-RS03-CL01|P0-03-RS03-CL03
mkc_027,舒适性能耐用品质证据阶梯,P0-03,P0-00|P0-05,P0-03-RS03-CL02
mkc_028,品质观察项与证明类型路由,P0-03,P0-01,P0-03-RS04-CL02|P0-03-RS04-CL03
mkc_029,工艺品质内容的可拍摄表达,P0-03,P0-01|P0-04,P0-03-RS04-CL04
mkc_030,Look 拆解观察骨架,P0-04,P0-03|P0-05,W5_P0_04_RS01_CL01
mkc_031,主题与色彩故事关系网,P0-04,P0-01|P0-03|P0-05,W5_P0_04_RS01_CL02
mkc_032,陈列区位与可拍摄视觉锚点,P0-04,P0-02|P0-05,W5_P0_04_RS01_CL03
mkc_033,门店日常动作观察切片,P0-04,P0-02,W5_P0_04_RS02_CL01
mkc_034,动作转内容槽位与演示三段式,P0-04,P0-01|P0-02,W5_P0_04_RS02_CL02|W5_P0_04_RS03_CL02
mkc_035,门店日常内容化风险红线,P0-04,P0-00|P0-02,W5_P0_04_RS02_CL03
mkc_036,陈列动作 SOP 节点框架,P0-04,P0-02|P0-05,W5_P0_04_RS03_CL01
mkc_037,零售角色动作权限与加盟改写边界,P0-04,P0-02,W5_P0_04_RS04_CL01|W5_P0_04_RS04_CL02
mkc_038,异常回退与前复核路由提示,P0-04,P0-00,W5_P0_04_RS03_CL03|W5_P0_04_RS04_CL03
mkc_039,产品叙事角色入场框架,P0-05,P0-01|P0-04,P0-05-RS01-C01
mkc_040,叙事到 CTA 的非硬卖边界,P0-05,P0-00|P0-01|P0-04,P0-05-RS01-C02
mkc_041,产品生命周期角色窗口,P0-05,P0-00|P0-04,P0-05-RS02-C01
mkc_042,组货角色与渠道边界矩阵,P0-05,P0-00|P0-02|P0-04,P0-05-RS02-C02
mkc_043,场景适配条件与不适配条件,P0-05,P0-01|P0-02|P0-03,P0-05-RS03-C01
mkc_044,使用教育与结果 claim 分界,P0-05,P0-00|P0-03,P0-05-RS03-C02
mkc_045,产品到陈列叙事关系语法,P0-05,P0-03|P0-04,P0-05-RS04-C01
mkc_046,产品到角色到叙事跨域关系,P0-05,P0-00|P0-01|P0-02|P0-04,P0-05-RS04-C02
