relation_id,candidate_id,target_ref,relation_predicate,relation_note,contains_real_instance_fact
SEMREL-001-01,SEM-PILOT-CONTENT-METHOD-001,mkc_019:maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device via linking a garment role to a sequence of occasion questions for Occasion ladder from garment role,false
SEMREL-001-02,SEM-PILOT-CONTENT-METHOD-001,mkc_019:connects_anchor_type_to_content_strategy,connects_anchor_type_to_content_strategy,connects_anchor_type_to_content_strategy via linking a garment role to a sequence of occasion questions for Occasion ladder from garment role,false
SEMREL-002-01,SEM-PILOT-CONTENT-METHOD-002,mkc_009:maps_fabric_property_to_allowed_content_claim,maps_fabric_property_to_allowed_content_claim,maps_fabric_property_to_allowed_content_claim via turning a visible material touchpoint into a cautious content promise for Material touchpoint to content promise boundary,false
SEMREL-002-02,SEM-PILOT-CONTENT-METHOD-002,mkc_009:downgrades_output_when_evidence_missing,downgrades_output_when_evidence_missing,downgrades_output_when_evidence_missing via turning a visible material touchpoint into a cautious content promise for Material touchpoint to content promise boundary,false
SEMREL-003-01,SEM-PILOT-CONTENT-METHOD-003,mkc_022:binds_role_perspective_to_authority_boundary,binds_role_perspective_to_authority_boundary,binds_role_perspective_to_authority_boundary via choosing a role perspective that can speak from styling practice without pretending to be a verified authority for Role perspective to authority boundary,false
SEMREL-003-02,SEM-PILOT-CONTENT-METHOD-003,mkc_022:maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device via choosing a role perspective that can speak from styling practice without pretending to be a verified authority for Role perspective to authority boundary,false
SEMREL-004-01,SEM-PILOT-CONTENT-METHOD-004,mkc_043:constrains_claim_type,constrains_claim_type,constrains_claim_type via starting content from a common styling failure and then naming the safer wardrobe choice for Failure-first content angle for wardrobe choice,false
SEMREL-004-02,SEM-PILOT-CONTENT-METHOD-004,mkc_043:downgrades_output_when_evidence_missing,downgrades_output_when_evidence_missing,downgrades_output_when_evidence_missing via starting content from a common styling failure and then naming the safer wardrobe choice for Failure-first content angle for wardrobe choice,false
SEMREL-005-01,SEM-PILOT-CONTENT-METHOD-005,mkc_039:connects_anchor_type_to_content_strategy,connects_anchor_type_to_content_strategy,connects_anchor_type_to_content_strategy via using one anchor item to define a repeatable series instead of producing one-off outfit notes for Anchor item to repeatable story series,false
SEMREL-005-02,SEM-PILOT-CONTENT-METHOD-005,mkc_039:maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device via using one anchor item to define a repeatable series instead of producing one-off outfit notes for Anchor item to repeatable story series,false
SEMREL-006-01,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-001,mkc_015:constrains_claim_type,constrains_claim_type,constrains_claim_type via separating visible drape description from unverified fit or body outcome claims for Drape language evidence boundary,false
SEMREL-006-02,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-001,mkc_015:requires_evidence_mode,requires_evidence_mode,requires_evidence_mode via separating visible drape description from unverified fit or body outcome claims for Drape language evidence boundary,false
SEMREL-007-01,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-002,mkc_008:requires_evidence_mode,requires_evidence_mode,requires_evidence_mode via ranking construction detail language from visible description to evidence-required durability claim for Construction detail claim ladder,false
SEMREL-007-02,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-002,mkc_008:constrains_claim_type,constrains_claim_type,constrains_claim_type via ranking construction detail language from visible description to evidence-required durability claim for Construction detail claim ladder,false
SEMREL-008-01,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-003,mkc_017:downgrades_output_when_evidence_missing,downgrades_output_when_evidence_missing,"downgrades_output_when_evidence_missing via downgrading comfort phrasing into observable ease, softness, or movement-space language for Comfort wording downgrade path",false
SEMREL-008-02,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-003,mkc_017:requires_evidence_mode,requires_evidence_mode,"requires_evidence_mode via downgrading comfort phrasing into observable ease, softness, or movement-space language for Comfort wording downgrade path",false
SEMREL-009-01,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-004,mkc_025:maps_fabric_property_to_allowed_content_claim,maps_fabric_property_to_allowed_content_claim,maps_fabric_property_to_allowed_content_claim via mapping visible fabric property language to allowed claim strength for Fabric property to allowed claim map,false
SEMREL-009-02,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-004,mkc_025:requires_evidence_mode,requires_evidence_mode,requires_evidence_mode via mapping visible fabric property language to allowed claim strength for Fabric property to allowed claim map,false
SEMREL-010-01,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-005,mkc_015:constrains_claim_type,constrains_claim_type,constrains_claim_type via comparing fit options by garment geometry rather than wearer transformation for Fit comparison without body effect,false
SEMREL-010-02,SEM-PILOT-APPAREL-CLAIM-BOUNDARY-005,mkc_015:downgrades_output_when_evidence_missing,downgrades_output_when_evidence_missing,downgrades_output_when_evidence_missing via comparing fit options by garment geometry rather than wearer transformation for Fit comparison without body effect,false
SEMREL-011-01,SEM-PILOT-DISPLAY-TO-CONTENT-001,mkc_010:translates_display_action_to_content_angle,translates_display_action_to_content_angle,translates_display_action_to_content_angle via turning a color-blocked fixture into a sequence of content beats for Color block fixture to story sequence,false
SEMREL-011-02,SEM-PILOT-DISPLAY-TO-CONTENT-001,mkc_010:converts_visual_merchandising_action_to_story_proof,converts_visual_merchandising_action_to_story_proof,converts_visual_merchandising_action_to_story_proof via turning a color-blocked fixture into a sequence of content beats for Color block fixture to story sequence,false
SEMREL-012-01,SEM-PILOT-DISPLAY-TO-CONTENT-002,mkc_025:translates_display_action_to_content_angle,translates_display_action_to_content_angle,translates_display_action_to_content_angle via reading a table display as a path from first item contact to final outfit decision for Front table outfit path to content angle,false
SEMREL-012-02,SEM-PILOT-DISPLAY-TO-CONTENT-002,mkc_025:maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device via reading a table display as a path from first item contact to final outfit decision for Front table outfit path to content angle,false
SEMREL-013-01,SEM-PILOT-DISPLAY-TO-CONTENT-003,mkc_015:maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device,maps_scene_task_to_narrative_device via using mannequin layering to show a narrative device about adjustment across scenes for Layered mannequin to narrative device,false
SEMREL-013-02,SEM-PILOT-DISPLAY-TO-CONTENT-003,mkc_015:translates_display_action_to_content_angle,translates_display_action_to_content_angle,translates_display_action_to_content_angle via using mannequin layering to show a narrative device about adjustment across scenes for Layered mannequin to narrative device,false
SEMREL-014-01,SEM-PILOT-DISPLAY-TO-CONTENT-004,mkc_004:converts_visual_merchandising_action_to_story_proof,converts_visual_merchandising_action_to_story_proof,converts_visual_merchandising_action_to_story_proof via using a small accessory as proof of the outfit direction rather than a decorative add-on for Accessory anchor to outfit proof,false
SEMREL-014-02,SEM-PILOT-DISPLAY-TO-CONTENT-004,mkc_004:connects_anchor_type_to_content_strategy,connects_anchor_type_to_content_strategy,connects_anchor_type_to_content_strategy via using a small accessory as proof of the outfit direction rather than a decorative add-on for Accessory anchor to outfit proof,false
SEMREL-015-01,SEM-PILOT-DISPLAY-TO-CONTENT-005,mkc_026:translates_display_action_to_content_angle,translates_display_action_to_content_angle,"translates_display_action_to_content_angle via turning a try-on route into a content sequence with fit, layer, and claim boundaries for Try-on route to content sequence",false
SEMREL-015-02,SEM-PILOT-DISPLAY-TO-CONTENT-005,mkc_026:requires_evidence_mode,requires_evidence_mode,"requires_evidence_mode via turning a try-on route into a content sequence with fit, layer, and claim boundaries for Try-on route to content sequence",false
SEMREL-016-01,SEM-PILOT-CONTROL-PLANE-GOVERNANCE-001,mkc_008:routes_control_plane_rule_to_decision_packet,routes_control_plane_rule_to_decision_packet,routes_control_plane_rule_to_decision_packet via requiring judge go/no-go before any microbatch can use semantic pilot outputs as generation evidence for Semantic pilot pass gate before batch,false
