relation_id,source_candidate_id,target_candidate_id,relation_type,relation_note,contains_real_instance_fact
pilot_relation_001,PILOT-CONTENT-METHOD-001,PILOT-CONTENT-METHOD-002,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_002,PILOT-CONTENT-METHOD-003,PILOT-CONTENT-METHOD-004,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_003,PILOT-CONTENT-METHOD-005,PILOT-CONTENT-METHOD-006,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_004,PILOT-CONTENT-METHOD-007,PILOT-CONTENT-METHOD-008,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_005,PILOT-CONTENT-METHOD-009,PILOT-CONTENT-METHOD-010,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_006,PILOT-CONTENT-METHOD-011,PILOT-APPAREL-CLAIM-BOUNDARY-001,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_007,PILOT-APPAREL-CLAIM-BOUNDARY-002,PILOT-APPAREL-CLAIM-BOUNDARY-003,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_008,PILOT-APPAREL-CLAIM-BOUNDARY-004,PILOT-APPAREL-CLAIM-BOUNDARY-005,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_009,PILOT-APPAREL-CLAIM-BOUNDARY-006,PILOT-APPAREL-CLAIM-BOUNDARY-007,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_010,PILOT-APPAREL-CLAIM-BOUNDARY-008,PILOT-APPAREL-CLAIM-BOUNDARY-009,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_011,PILOT-APPAREL-CLAIM-BOUNDARY-010,PILOT-APPAREL-CLAIM-BOUNDARY-011,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_012,PILOT-DISPLAY-TO-CONTENT-001,PILOT-DISPLAY-TO-CONTENT-002,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_013,PILOT-DISPLAY-TO-CONTENT-003,PILOT-DISPLAY-TO-CONTENT-004,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_014,PILOT-DISPLAY-TO-CONTENT-005,PILOT-DISPLAY-TO-CONTENT-006,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_015,PILOT-DISPLAY-TO-CONTENT-007,PILOT-DISPLAY-TO-CONTENT-008,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_016,PILOT-DISPLAY-TO-CONTENT-009,PILOT-DISPLAY-TO-CONTENT-010,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_017,PILOT-DISPLAY-TO-CONTENT-011,PILOT-CONTROL-PLANE-GOVERNANCE-001,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_018,PILOT-CONTROL-PLANE-GOVERNANCE-002,PILOT-CONTROL-PLANE-GOVERNANCE-003,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_019,PILOT-CONTROL-PLANE-GOVERNANCE-004,PILOT-CONTROL-PLANE-GOVERNANCE-005,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_020,PILOT-CONTROL-PLANE-GOVERNANCE-006,PILOT-CONTROL-PLANE-GOVERNANCE-007,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_021,PILOT-CONTROL-PLANE-GOVERNANCE-008,PILOT-CONTROL-PLANE-GOVERNANCE-009,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
pilot_relation_022,PILOT-CONTROL-PLANE-GOVERNANCE-010,PILOT-CONTROL-PLANE-GOVERNANCE-011,review_adjacent_method_boundary,Generic pilot relation for reviewer comparison without named-instance facts.,false
