relation_id,subject_node_id,subject_node_label_zh,predicate_id,object_node_id,object_node_label_zh,condition_ref,evidence_requirement_ref,owner_scope,source_candidate_id
SEM-V4-CONTENT-METHOD-001-REL-01,node_mkc_009_1_subject,story_arc,requires_evidence_mode,node_mkc_009_1_object,required_proof_intensity,不同叙事弧线对应的问题类型,story_method_reference_type,GeneralKnowledgeBase,SEM-V4-CONTENT-METHOD-001
SEM-V4-CONTENT-METHOD-001-REL-02,node_mkc_009_2_subject,story_arc,constrains_claim_type,node_mkc_009_2_object,compatible_value_expression,弧线与证据要求的绑定,organization_process_or_capability_explainer_type,GeneralKnowledgeBase,SEM-V4-CONTENT-METHOD-001
SEM-V4-CONTENT-METHOD-001-REL-03,node_mkc_009_3_subject,story_arc,translates_anchor_to_content_angle,node_mkc_009_3_object,forbidden_fact_zone,弧线与价值表达、proof slot 的兼容性,official_milestone_disclosure_type_if_later_instance_authorized,GeneralKnowledgeBase,SEM-V4-CONTENT-METHOD-001
SEM-V4-CONTENT-METHOD-002-REL-01,node_mkc_010_1_subject,anchor_object,requires_evidence_mode,node_mkc_010_1_object,anchor_action,对象锚点类型,process_scene_or_object_reference_type,L2_PlayCardCandidate,SEM-V4-CONTENT-METHOD-002
SEM-V4-CONTENT-METHOD-002-REL-02,node_mkc_010_2_subject,anchor_action,constrains_claim_type,node_mkc_010_2_object,visible_cue,动作锚点与处理逻辑,organization_role_action_reference_type,L2_PlayCardCandidate,SEM-V4-CONTENT-METHOD-002
SEM-V4-CONTENT-METHOD-002-REL-03,node_mkc_010_3_subject,constraint,translates_anchor_to_content_angle,node_mkc_010_3_object,tradeoff_expression,约束锚点与取舍表达,method_or_choice_explainer_type,L2_PlayCardCandidate,SEM-V4-CONTENT-METHOD-002
SEM-V4-APPAREL-CLAIM-BOUNDARY-001-REL-01,node_mkc_026_1_subject,承接 RS02-CL02 与 RS02-CL03,requires_evidence_mode,node_mkc_026_1_object,承接 RS02-CL02 与 RS02-CL03,观察词/关系词/结果词分层,claim_policy_reference,EvidencePolicyCandidate,SEM-V4-APPAREL-CLAIM-BOUNDARY-001
SEM-V4-APPAREL-CLAIM-BOUNDARY-001-REL-02,node_mkc_026_2_subject,连接 RS03-CL03 场景化观察方法,constrains_claim_type,node_mkc_026_2_object,连接 RS03-CL03 场景化观察方法,能说视觉线条变化与不能保证身体结果的边界,sensitive_claim_boundary_reference,EvidencePolicyCandidate,SEM-V4-APPAREL-CLAIM-BOUNDARY-001
SEM-V4-APPAREL-CLAIM-BOUNDARY-001-REL-03,node_mkc_026_3_subject,向 P0-00 证据路由提供触发点但不吸收控制面内容,translates_anchor_to_content_angle,node_mkc_026_3_object,向 P0-00 证据路由提供触发点但不吸收控制面内容,替代表达与回避表达,content_risk_reference,EvidencePolicyCandidate,SEM-V4-APPAREL-CLAIM-BOUNDARY-001
SEM-V4-APPAREL-CLAIM-BOUNDARY-002-REL-01,node_mkc_027_1_subject,承接 RS02-CL01 与 RS02-CL04 的材料和工艺名词,requires_evidence_mode,node_mkc_027_1_object,承接 RS02-CL01 与 RS02-CL04 的材料和工艺名词,claim 分级,standard_reference_type,EvidencePolicyCandidate,SEM-V4-APPAREL-CLAIM-BOUNDARY-002
