relation_id,source_draft_id,artifact_kind,subject_ref,subject_type,predicate_id,predicate_family,object_ref,object_type,condition,evidence_requirement,owner_scope,body_proposition_ref,w7_required_relation_ref,relation_status
RDH-SEM-V4_3-CONTENT-METHOD-001-01,SEM-V4_3-CONTENT-METHOD-001,general_knowledge_candidate,SEM-V4_3-CONTENT-METHOD-001:block:definition,type_specific_block_ref,selects_story_problem_type_v43,story_method,SEM-V4_3-CONTENT-METHOD-001:block:decision_matrix_for_story_arc_or_anchor_choice,body_block_ref,general_knowledge 条目使用 definition 后才引用,profile_registry_design_hint_only,creative_content_operating,definition,story_arc -> required_proof_intensity,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTENT-METHOD-001-02,SEM-V4_3-CONTENT-METHOD-001,general_knowledge_candidate,SEM-V4_3-CONTENT-METHOD-001:block:input_signal_to_method_selection,type_specific_block_ref,binds_arc_to_proof_intensity_v43,story_method,SEM-V4_3-CONTENT-METHOD-001:block:failure_downgrade_path,body_block_ref,general_knowledge 条目使用 input_signal_to_method_selection 后才引用,profile_registry_design_hint_only,creative_content_operating,input_signal_to_method_selection,story_arc -> compatible_value_expression,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTENT-METHOD-002-01,SEM-V4_3-CONTENT-METHOD-002,general_knowledge_candidate,SEM-V4_3-CONTENT-METHOD-002:block:definition,type_specific_block_ref,anchors_object_action_constraint_v43,anchor_method,SEM-V4_3-CONTENT-METHOD-002:block:input_signal_to_method_selection,body_block_ref,general_knowledge 条目使用 definition 后才引用,profile_registry_design_hint_only,creative_content_operating,definition,anchor_object -> anchor_action,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTENT-METHOD-002-02,SEM-V4_3-CONTENT-METHOD-002,general_knowledge_candidate,SEM-V4_3-CONTENT-METHOD-002:block:failure_downgrade_path,type_specific_block_ref,downgrades_weak_anchor_to_checklist_v43,anchor_method,SEM-V4_3-CONTENT-METHOD-002:block:decision_matrix_for_story_arc_or_anchor_choice,body_block_ref,general_knowledge 条目使用 failure_downgrade_path 后才引用,profile_registry_design_hint_only,creative_content_operating,failure_downgrade_path,constraint -> tradeoff_expression,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTENT-METHOD-002-03,SEM-V4_3-CONTENT-METHOD-002,general_knowledge_candidate,SEM-V4_3-CONTENT-METHOD-002:block:input_signal_to_method_selection,type_specific_block_ref,anchors_object_action_constraint_v43,anchor_method,SEM-V4_3-CONTENT-METHOD-002:block:difference_from_neighbor_cluster,body_block_ref,general_knowledge 条目使用 input_signal_to_method_selection 后才引用,profile_registry_design_hint_only,creative_content_operating,input_signal_to_method_selection,anchor_action -> visible_cue,design_hint_not_ontology_edge
RDH-SEM-V4_3-CONTENT-METHOD-002-04,SEM-V4_3-CONTENT-METHOD-002,general_knowledge_candidate,SEM-V4_3-CONTENT-METHOD-002:block:definition,type_specific_block_ref,downgrades_weak_anchor_to_checklist_v43,anchor_method,SEM-V4_3-CONTENT-METHOD-002:block:failure_downgrade_path,body_block_ref,general_knowledge 条目使用 definition 后才引用,profile_registry_design_hint_only,creative_content_operating,definition,process_node -> narrative_sceneability,design_hint_not_ontology_edge
RDH-SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001-01,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001,general_knowledge_candidate,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:claim_type_ladder,type_specific_block_ref,classifies_expression_strength_v43,claim_boundary,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:restricted_expression_examples,body_block_ref,claim_boundary 条目使用 claim_type_ladder 后才引用,profile_registry_design_hint_only,apparel_claim_boundary,claim_type_ladder,承接 RS02-CL02 与 RS02-CL03,design_hint_not_ontology_edge
RDH-SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001-02,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001,general_knowledge_candidate,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:restricted_expression_examples,type_specific_block_ref,downgrades_claim_to_observation_v43,claim_boundary,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:allowed_expression_examples,body_block_ref,claim_boundary 条目使用 restricted_expression_examples 后才引用,profile_registry_design_hint_only,apparel_claim_boundary,restricted_expression_examples,连接 RS03-CL03 场景化观察方法,design_hint_not_ontology_edge
RDH-SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001-03,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001,general_knowledge_candidate,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:evidence_threshold_by_claim_strength,type_specific_block_ref,requires_source_workorder_for_result_claim_v43,evidence_boundary,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:source_workorder_hint,body_block_ref,claim_boundary 条目使用 evidence_threshold_by_claim_strength 后才引用,profile_registry_design_hint_only,apparel_claim_boundary,evidence_threshold_by_claim_strength,向 P0-00 证据路由提供触发点但不吸收控制面内容,design_hint_not_ontology_edge
RDH-SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001-04,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001,general_knowledge_candidate,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:prohibited_expression_examples,type_specific_block_ref,blocks_body_effect_claim_v43,evidence_boundary,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-001:block:source_workorder_hint,body_block_ref,claim_boundary 条目使用 prohibited_expression_examples 后才引用,profile_registry_design_hint_only,apparel_claim_boundary,prohibited_expression_examples,scene cue -> non-conclusive observation,design_hint_not_ontology_edge
RDH-SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002-01,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002,general_knowledge_candidate,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002:block:claim_type_ladder,type_specific_block_ref,classifies_expression_strength_v43,claim_boundary,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002:block:restricted_expression_examples,body_block_ref,claim_boundary 条目使用 claim_type_ladder 后才引用,profile_registry_design_hint_only,apparel_claim_boundary,claim_type_ladder,承接 RS02-CL01 与 RS02-CL04 的材料和工艺名词,design_hint_not_ontology_edge
RDH-SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002-02,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002,general_knowledge_candidate,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002:block:evidence_threshold_by_claim_strength,type_specific_block_ref,requires_source_workorder_for_result_claim_v43,evidence_boundary,SEM-V4_3-APPAREL-CLAIM-BOUNDARY-002:block:source_workorder_hint,body_block_ref,claim_boundary 条目使用 evidence_threshold_by_claim_strength 后才引用,profile_registry_design_hint_only,apparel_claim_boundary,evidence_threshold_by_claim_strength,连接 RS04-CL02 与 RS04-CL03 的品质证明类型,design_hint_not_ontology_edge
