path,location,artifact_type,classification,reason,size_bytes,modified_iso,sha256,migration_recommendation,sensitivity
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/SKILL.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,2721,2026-07-06T00:07:35.978716-07:00,db886e600d0d9813729721d5dad784275396f68f3ce950a3dddd536d9078fdae,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/assets/batch_brief.template.yaml,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,370,2026-07-06T00:07:35.978716-07:00,debd24c568db15e333f6a99c077cf1f21a1f713c205b02662241c85db31c0153,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/assets/gold_hook_candidate.template.yaml,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,301,2026-07-06T00:07:35.982716-07:00,9c1ffc6bd13784eea3df1ca479627758f4d8a622c9816b23a320bf6cecef7054,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/assets/knowledge_candidate_card.template.yaml,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,1140,2026-07-06T00:07:35.978716-07:00,8e933216d7d2120a3114ac756425998754a8ec947de575b27cc717709fa573e9,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/assets/rich_body_blocks.template.yaml,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,387,2026-07-06T00:07:35.978716-07:00,35e1bb3266f638f40725cf9e5c65de6f46d22536f0350a3847a7324be5937b2a,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/references/failure_codes.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,934,2026-07-06T00:07:35.978716-07:00,0f8d8f571a6d47bba6ea769f395be27defaed91766bfe38739ea529077f0a1fa,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/references/intake_contract.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,1619,2026-07-06T00:07:35.978716-07:00,b0de615070fe71225e2a5b33cfae169f4094f7ef6bcb7b482d9bf969903973e4,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/references/nine_pass_method.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,911,2026-07-06T00:07:35.978716-07:00,8e08a36736e5b1f321ce5ca0e9cede1d1a37a76e1c791f2db5d3d3a850e8ccf0,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/references/release_integration.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,613,2026-07-06T00:07:35.978716-07:00,f9b49d3716b2b604b55f3c3e496bf30b68471a3e05d210e94e26c6138e22e3d4,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/references/scoring_rubric.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,880,2026-07-06T00:07:35.978716-07:00,29427730c31ab3ca64e64b6b162836ce6b0a7828e79eef9436de7fb61f1bcbd9,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/.agents/skills/diyu-gkb-draft-intake/scripts/README.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,222,2026-07-06T00:07:35.982716-07:00,ef8a9ff2c2b60b00fbc0aa70ec4b246ab7352fccd70dd98ff9f5bbb2d3c87a32,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/AGENTS.md,target_workspace,existing_target_file,canonical_optional,governance instruction file,1806,2026-07-05T23:49:32.594712-07:00,f72a842a34060df0400bc1e9b9f180fc15918b448fd0dea7e602ae8223907349,retain and reconcile with new workspace README/status manifest,normal
/home/diyu/笛语领域通用数据库/SKILL/diyu-gkb-draft-intake.md,target_workspace,existing_target_file,canonical_optional,local skill/instruction scaffold,2117,2026-07-05T23:52:41.967535-07:00,fbe5c7042d879c0da4fff13faa883c96d9e5106ab9ac4cb2f361f2dc5fe255bb,retain only if desired by canonical workspace governance,normal
/home/diyu/笛语领域通用数据库/ci/checkers/README_gkb_intake.md,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,1072,2026-07-06T00:25:56.946534-07:00,77c6c29452e21a0de4c5efcfbc859be4fdaa5f944606f828dc023a2f7876198d,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/__pycache__/gkb_intake_common.cpython-310.pyc,target_workspace,existing_target_file,cleanup_candidate,generated Python cache; exclude from canonical migration,6486,2026-07-06T02:43:48.904355-07:00,1218cd29760e6afcf26a4588897af8f8c7617925779e41c6cdb8e14fc360a66c,do_not_migrate; may delete only after human approval,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_capability_routing_composability.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,3651,2026-07-06T00:22:10.804507-07:00,9c4b4d1cd5279c3bfceef436c7625547d779d05fca1ab4e39e6a6fb23ce21d80,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_declared_semantics_alignment.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,6264,2026-07-06T00:26:25.298527-07:00,23f1309faf090a6ca14d118d6869388d388550b7a0283f43f0fe2f31e4378cd8,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_gold_hooks_as_release_input.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,3707,2026-07-06T00:23:30.507983-07:00,bfc47e035dc47330ba96455dbc4f92a8ac8ecf498b126f1375719272b0c78a58,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_hard_claim_and_brand_fact_leak.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,3523,2026-07-06T01:28:10.429061-07:00,00af512ae5431f59e852ab2b11c2880c1707eb43ffc1f8d317fcc2274357f77b,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_no_readiness_leak.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,2198,2026-07-06T00:22:10.796507-07:00,92846395842a9e6c2293060befc2c84c988466f9fc54d216f32aeefe4e4f044a,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_rich_body_structure_consistency.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,4806,2026-07-06T01:28:10.429061-07:00,001787e5d2838d40792de247b63a188b9c8078dfdc1a05980f10ff0a07ae6f65,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_semantic_fingerprint_dedupe.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,5605,2026-07-06T01:34:20.305576-07:00,b94da9d0761ad9ae4d94bb5d356aad9f10928d93e5bee57a3377bbf88ae310a8,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_serving_spec_no_passage_text.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,2407,2026-07-06T00:23:30.507983-07:00,134192c9b4d9d8e68788852678618e3877293e83571b29d6fa337d00d8c17152,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/check_source_anchor_coverage.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,3295,2026-07-06T00:22:10.800507-07:00,d61e92b1489e0670372b3b22278f987e9989b54f4c50f813fa19c66102f6b139,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/ci/checkers/gkb_intake_common.py,target_workspace,existing_target_file,canonical_optional,local checker/tool scaffold that may help post-migration validation,5643,2026-07-06T00:20:46.780488-07:00,c8ef258196c7609066f16a8705be9817a03004aa356af2cc6b545c95d58b26f5,retain if aligned with adopted workspace contract,normal
/home/diyu/笛语领域通用数据库/diyu_knowledge_intake_alignment_gate.html,target_workspace,existing_target_file,duplicate,HTML alignment artifact also appears in W7 package,18774,2026-07-04T01:48:38.497645-07:00,44c55f04b80f4e9446aec7acb7b2c9c82a47bbc1bb63203d192d751df9ac6833,keep one canonical copy or archive duplicate,normal
/home/diyu/笛语领域通用数据库/fixtures/gkb_intake/negative/concrete_brand_fact.yaml,target_workspace,existing_target_file,canonical_optional,"negative fixture for gate/checker validation, not production content",898,2026-07-06T00:09:50.376786-07:00,50b5b271a3c77e2c2ff98c5bb0793328a54e1b4a1855b97a5f2c7f8a2ea924c8,retain only if adopting local checker suite,normal
/home/diyu/笛语领域通用数据库/fixtures/gkb_intake/negative/declared_semantics_mismatch.yaml,target_workspace,existing_target_file,canonical_optional,"negative fixture for gate/checker validation, not production content",382,2026-07-06T00:23:48.990385-07:00,a2ebf14360d41b310ee7bf146d920b0b91805b3410ed414690e4d8fda3738b01,retain only if adopting local checker suite,normal
/home/diyu/笛语领域通用数据库/fixtures/gkb_intake/negative/duplicate_fingerprint.yaml,target_workspace,existing_target_file,canonical_optional,"negative fixture for gate/checker validation, not production content",1518,2026-07-06T00:09:50.376786-07:00,ff698e9a9424b1805e5c8c08bab981fdb79dcdc9d1c1ed0810466a399e7544a6,retain only if adopting local checker suite,normal
/home/diyu/笛语领域通用数据库/fixtures/gkb_intake/negative/hard_claim_leak.yaml,target_workspace,existing_target_file,canonical_optional,"negative fixture for gate/checker validation, not production content",893,2026-07-06T00:09:50.376786-07:00,aa22b44bb5c354c58e2787a3ffb641342000cc2a3e5d2758be37b2960c3286b5,retain only if adopting local checker suite,normal
