relation_id,candidate_id,canonical_cluster_id,relation_from,relation_to,relation_hint,relation_status,formal_ontology_edge_allowed,ontology_edge_created,human_review_required_for_relation
PROOF-MB-001-001-REL-01,PROOF-MB-001-001,mkc_007,problem_domain,operating_method,problem_domain -> operating_method,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-001-REL-02,PROOF-MB-001-001,mkc_007,operating_method,proof_slot,operating_method -> proof_slot,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-001-REL-03,PROOF-MB-001-001,mkc_007,proof_slot,value_expression,proof_slot -> value_expression,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-001-REL-04,PROOF-MB-001-001,mkc_007,value_expression,series_axis,value_expression -> series_axis,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-002-REL-01,PROOF-MB-001-002,mkc_008,organization_role,process_node,organization_role -> process_node,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-002-REL-02,PROOF-MB-001-002,mkc_008,process_node,quality_gate,process_node -> quality_gate,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-002-REL-03,PROOF-MB-001-002,mkc_008,supply_chain_choice,constraint,supply_chain_choice -> constraint,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-002-REL-04,PROOF-MB-001-002,mkc_008,constraint,method_credibility,constraint -> method_credibility,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-002-REL-05,PROOF-MB-001-002,mkc_008,proof_slot,value_expression,proof_slot -> value_expression,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-003-REL-01,PROOF-MB-001-003,mkc_009,material_problem_type,story_arc_selection,material_problem_type -> story_arc_selection,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-003-REL-02,PROOF-MB-001-003,mkc_009,story_arc_selection,required_proof_intensity,story_arc_selection -> required_proof_intensity,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-003-REL-03,PROOF-MB-001-003,mkc_009,required_proof_intensity,compatible_value_expression,required_proof_intensity -> compatible_value_expression,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-003-REL-04,PROOF-MB-001-003,mkc_009,arc_mismatch,downgrade_to_observation_or_question,arc_mismatch -> downgrade_to_observation_or_question,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-004-REL-01,PROOF-MB-001-004,mkc_010,abstract_style_word,anchor_requirement,abstract_style_word -> anchor_requirement,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-004-REL-02,PROOF-MB-001-004,mkc_010,anchor_object,anchor_action,anchor_object -> anchor_action,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-004-REL-03,PROOF-MB-001-004,mkc_010,anchor_action,visible_cue,anchor_action -> visible_cue,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-004-REL-04,PROOF-MB-001-004,mkc_010,constraint,tradeoff_expression,constraint -> tradeoff_expression,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-004-REL-05,PROOF-MB-001-004,mkc_010,process_node,narrative_sceneability,process_node -> narrative_sceneability,design_hint_not_ontology_edge,False,False,True
PROOF-MB-001-005-REL-01,PROOF-MB-001-005,mkc_011,risk_zone,routing_target,risk_zone -> routing_target,design_hint_not_ontology_edge,False,False,True
