relation_id,from_object,to_object,relation_type,canonical_cluster_id,generation_assignment_id,ontology_edge_created,formal_ontology_edge_allowed,relation_status,human_review_required
SCM120-A001-REL-01,问题场景起点,组织性方法与长期选择,叙事先后依赖,mkc_007,SCM120-A001,false,false,design_hint_not_ontology_edge,true
SCM120-A001-REL-02,版型稳定性,复核节点,由其保障,mkc_007,SCM120-A001,false,false,design_hint_not_ontology_edge,true
SCM120-A001-REL-03,价值表达,可观察差异,镜前现场对齐,mkc_007,SCM120-A001,false,false,design_hint_not_ontology_edge,true
SCM120-A002-REL-01,企业所回应的问题场景,组织性方法与长期选择,precedes_enables,mkc_007,SCM120-A002,false,false,design_hint_not_ontology_edge,true
SCM120-A002-REL-02,价值表达与可观察差异,门店解释难度,reduces,mkc_007,SCM120-A002,false,false,design_hint_not_ontology_edge,true
SCM120-A002-REL-03,一次性走红事件,普通当季信息条目,downgraded_to,mkc_007,SCM120-A002,false,false,design_hint_not_ontology_edge,true
SCM120-A003-REL-01,版型稳定性,顾客上身那刻的熟悉合身感,作为可观察证据支撑,mkc_007,SCM120-A003,false,false,design_hint_not_ontology_edge,true
SCM120-A003-REL-02,货品结构,门店解释难度与顾客选择成本,越清晰越降低,mkc_007,SCM120-A003,false,false,design_hint_not_ontology_edge,true
SCM120-A003-REL-03,规模与增长硬结论,官方资料补证,无源则悬置待补只留方法层,mkc_007,SCM120-A003,false,false,design_hint_not_ontology_edge,true
SCM120-A004-REL-01,选料节点,起球风险约束,choice_paired_with_constraint,mkc_008,SCM120-A004,false,false,design_hint_not_ontology_edge,true
SCM120-A004-REL-02,工序节点,复核门,node_followed_by_gate,mkc_008,SCM120-A004,false,false,design_hint_not_ontology_edge,true
SCM120-A004-REL-03,工序证明,陈列角色,value_translated_to_floor,mkc_008,SCM120-A004,false,false,design_hint_not_ontology_edge,true
SCM120-A005-REL-01,设计角色,版型角色,选择与约束需协商让步,mkc_008,SCM120-A005,false,false,design_hint_not_ontology_edge,true
SCM120-A005-REL-02,复核门,证明槽位边界,可讲存在不可讲件数,mkc_008,SCM120-A005,false,false,design_hint_not_ontology_edge,true
SCM120-A005-REL-03,试穿节点,导购角色,提前拉入看货反馈,mkc_008,SCM120-A005,false,false,design_hint_not_ontology_edge,true
SCM120-A006-REL-01,硬结论_耐穿显瘦高级,镜前可观察描述,downgrades_to,mkc_008,SCM120-A006,false,false,design_hint_not_ontology_edge,true
SCM120-A006-REL-02,复核门,二次确认存在性_不含具体件数,asserts_existence_only,mkc_008,SCM120-A006,false,false,design_hint_not_ontology_edge,true
SCM120-A006-REL-03,供应商工厂检测报告实例事实,待补证据留空,deferred_until_authorized,mkc_008,SCM120-A006,false,false,design_hint_not_ontology_edge,true
SCM120-A007-REL-01,内容的问题类型,叙事弧线选择,决定先后,mkc_009,SCM120-A007,false,false,design_hint_not_ontology_edge,true
SCM120-A007-REL-02,结果反差强度,可核验证据要求,正相关约束,mkc_009,SCM120-A007,false,false,design_hint_not_ontology_edge,true
SCM120-A007-REL-03,无源硬结论,可观察面料比较镜头,降级替换,mkc_009,SCM120-A007,false,false,design_hint_not_ontology_edge,true
SCM120-A008-REL-01,强反差收尾弧线,可核验事实要求,requires,mkc_009,SCM120-A008,false,false,design_hint_not_ontology_edge,true
SCM120-A008-REL-02,无源硬结论（最耐穿）,可观察服装描述,downgrades_to,mkc_009,SCM120-A008,false,false,design_hint_not_ontology_edge,true
SCM120-A008-REL-03,面料比较并排画面,读者自行判断,enables,mkc_009,SCM120-A008,false,false,design_hint_not_ontology_edge,true
SCM120-A009-REL-01,替素未谋面顾客编造内心情绪的煽情开头,戏剧化讲法在这条内容上失效,triggers_inapplicability_signal,mkc_009,SCM120-A009,false,false,design_hint_not_ontology_edge,true
SCM120-A009-REL-02,无源的顾客情绪硬结论,可上手验证的面料比较与实物描述,downgraded_to,mkc_009,SCM120-A009,false,false,design_hint_not_ontology_edge,true
SCM120-A009-REL-03,明早陈列的最终落位,货架前实测,deferred_to_slot,mkc_009,SCM120-A009,false,false,design_hint_not_ontology_edge,true
SCM120-A010-REL-01,领口翻折立起的角度,顾客视线入口,serves_as_anchor,mkc_010,SCM120-A010,false,false,design_hint_not_ontology_edge,true
SCM120-A010-REL-02,挂通色组只留三档,领口翻折锚点,reinforces,mkc_010,SCM120-A010,false,false,design_hint_not_ontology_edge,true
SCM120-A010-REL-03,反模板叙事锚点方法,可被顾客复述的陈列,produces,mkc_010,SCM120-A010,false,false,design_hint_not_ontology_edge,true
SCM120-A011-REL-01,对象锚点(领口翻折/门襟),动作锚点(挽袖口/收腰线),锚点串联成可拍落点,mkc_010,SCM120-A011,false,false,design_hint_not_ontology_edge,true
SCM120-A011-REL-02,动作锚点与处理逻辑,约束锚点与取舍表达,动作接一句可说出口的取舍,mkc_010,SCM120-A011,false,false,design_hint_not_ontology_edge,true
SCM120-A011-REL-03,叠装层次先后,节点锚点与前后台衔接,穿叠顺序映射前后台,mkc_010,SCM120-A011,false,false,design_hint_not_ontology_edge,true
SCM120-A012-REL-01,袖口翻折动作,露出门襟与里衬走线,动作锚点触发可指认细节,mkc_010,SCM120-A012,false,false,design_hint_not_ontology_edge,true
SCM120-A012-REL-02,领口深浅,叠装层次,决定搭配层级,mkc_010,SCM120-A012,false,false,design_hint_not_ontology_edge,true
